app,content,cleaned_text,theme,subtheme,emotion,emotion_confidence
pizzahut,Very poor in service product with quality. Without opening outlate they start to apply boosting their apps on different social media to order food. But after install they told that there is only one outlet in savar. Not even in Dhaka. How funny.!!! Just ignor them. Let them open their outlet first. Then install it.,Very poor in service product with quality Without opening outlate they start to apply boosting their apps on different social media to order food But after install they told that there is only one outlet in savar Not even in Dhaka How funny !!! Just ignor them Let them open their outlet first Then install it,Food Quality & Availability,Food or Restaurant Unavailable,surprise,0.9098403453826904
pizzahut,I'm never able to order from this app. Doesn't redirect me to the payment gateway.,I m never able to order from this app Doesn t redirect me to the payment gateway,App Usability & UX,Beautiful App Design,sadness,0.8709028959274292
pizzahut,Price is too much comparison to quality and quantity.,Price is too much comparison to quality and quantity,Food Quality & Availability,Good Food,neutral,0.6052610278129578
pizzahut,Good,Good,Food Quality & Availability,Good Food,neutral,0.49310538172721863
pizzahut,"It is showing wrong address, and is not allowing to correct it.",It is showing wrong address and is not allowing to correct it,Delivery Service,No Live Tracking,sadness,0.4083646833896637
pizzahut,The use interface is not to good for our user I think the app can be make a lot better.,The use interface is not to good for our user I think the app can be make a lot better,App Usability & UX,Beautiful App Design,neutral,0.6389337182044983
pizzahut,"The app is just stuck with a blank white screen. Previous comment: They gave lame excuse about why they dont give home delivery option to certain places.. in my case, just the next block! Otherwise the experience was fast and good. Please show past orders and on-going orders and their online payment status. Other than the sms, there is no way to know about the orders. Also allow place to add order notes to say if we want our pizza without chilli or less cheese etc.",The app is just stuck with a blank white screen Previous comment They gave lame excuse about why they dont give home delivery option to certain places in my case just the next block! Otherwise the experience was fast and good Please show past orders and on going orders and their online payment status Other than the sms there is no way to know about the orders Also allow place to add order notes to say if we want our pizza without chilli or less cheese etc,Delivery Service,No Live Tracking,neutral,0.6594194769859314
pizzahut,I often use it to order from pizza hut. Very convenient and pizza hut still has maintained great quality and professional service!,I often use it to order from pizza hut Very convenient and pizza hut still has maintained great quality and professional service!,Food Quality & Availability,Food or Restaurant Unavailable,joy,0.745923638343811
pizzahut,Unable to Find location 👎,Unable to Find location,Trust & Ethics,Mistrust in Transactions,sadness,0.8199890851974487
pizzahut,Doesn't work,Doesn t work,Food Quality & Availability,Food or Restaurant Unavailable,sadness,0.7373772263526917
pizzahut,Please include tracking option after order,Please include tracking option after order,Delivery Service,No Live Tracking,neutral,0.9652590751647949
pizzahut,"Does not work, app unable to find my location, just loading and loading.. its a dumb app.. r u trying to lose business with this app ??",Does not work app unable to find my location just loading and loading its a dumb app r u trying to lose business with this app ??,App Usability & UX,Beautiful App Design,sadness,0.3440752327442169
pizzahut,IT'S NOT GIVING ME ANY OTP,IT S NOT GIVING ME ANY OTP,Reliability & Technical Performance,OTP Failures,neutral,0.7157633304595947
pizzahut,Most worst and stupid app if i order through app it never executive why I have a pending order no 127437 and payment already done,Most worst and stupid app if i order through app it never executive why I have a pending order no 127437 and payment already done,App Usability & UX,Beautiful App Design,anger,0.9348693490028381
pizzahut,When I scroll up and down virtual menu the page moves slow. Must be the low framerate. Plus the overall interface or design could have been better.,When I scroll up and down virtual menu the page moves slow Must be the low framerate Plus the overall interface or design could have been better,App Usability & UX,Beautiful App Design,neutral,0.5570285320281982
pizzahut,Good,Good,Food Quality & Availability,Good Food,neutral,0.49310538172721863
pizzahut,my location is not in your map,my location is not in your map,Delivery Service,No Live Tracking,neutral,0.48483750224113464
pizzahut,Good service,Good service,Food Quality & Availability,Good Food,neutral,0.8539659380912781
pizzahut,Does nothing. Shows only one screen please wait!! :/,Does nothing Shows only one screen please wait!!,Delivery Service,No Live Tracking,neutral,0.6352453827857971
pizzahut,Nice app.now it has become more easy to enjoy a delicious pizza,Nice app now it has become more easy to enjoy a delicious pizza,App Usability & UX,Beautiful App Design,joy,0.8216559290885925
pizzahut,"Very poor app.Whenever I open the app, it always just buffers.Very poor quality.",Very poor app Whenever I open the app it always just buffers Very poor quality,App Usability & UX,Beautiful App Design,sadness,0.367798388004303
pizzahut,High delivery charge,High delivery charge,Delivery Service,Quick Delivery,neutral,0.8323680758476257
pizzahut,More than a week Pizza Hut🍇 Bangladesh app cannot be open🍇 in my mobile. Please my question to Pizza Hut🍇 Bangldesh app authority.......Why???🤔🤕🤔🤕,More than a week Pizza Hut Bangladesh app cannot be open in my mobile Please my question to Pizza Hut Bangldesh app authority Why???,App Usability & UX,Beautiful App Design,sadness,0.5093355774879456
pizzahut,Short Area Coverage.,Short Area Coverage,Food Quality & Availability,Food or Restaurant Unavailable,neutral,0.9565562605857849
pizzahut,"It says it won't deliver to Eskaton Garden from the New Bailey Road branch ... what a pity ! I only installed the app to check how it is and I ended up finding out the fact, that they don't deliver, even to the areas closest to them. Had no choice but to uninstall this app.",It says it won t deliver to Eskaton Garden from the New Bailey Road branch what a pity ! I only installed the app to check how it is and I ended up finding out the fact that they don t deliver even to the areas closest to them Had no choice but to uninstall this app,Delivery Service,No Live Tracking,sadness,0.8341073989868164
pizzahut,Please optimize for z fold 3,Please optimize for z fold 3,Food Quality & Availability,Food or Restaurant Unavailable,neutral,0.9306911826133728
pizzahut,🔥Email address is not working 🔥🤬🤬🤬😡,Email address is not working,Delivery Service,No Live Tracking,neutral,0.5218015313148499
pizzahut,More good the best in bangldey,More good the best in bangldey,Food Quality & Availability,Good Food,neutral,0.46875038743019104
pizzahut,It does not work at all. I could never order.,It does not work at all I could never order,Delivery Service,No Live Tracking,sadness,0.5557354092597961
pizzahut,Could not find banasree although explicitly its written that its added in the new version,Could not find banasree although explicitly its written that its added in the new version,Delivery Service,No Live Tracking,neutral,0.8069469332695007
pizzahut,This is the worst app ever.I still haven't got my order.,This is the worst app ever I still haven t got my order,App Usability & UX,Beautiful App Design,disgust,0.9384676814079285
pizzahut,this app is verry dangares one your phone.. this app install your phone then click open one one now crash or damage your phone and leak your privacy.. to be install to your Risk..,this app is verry dangares one your phone this app install your phone then click open one one now crash or damage your phone and leak your privacy to be install to your Risk,App Usability & UX,Beautiful App Design,anger,0.7982584834098816
pizzahut,This app works only on the first time. Then you have to clear the cache+data to make it work again.,This app works only on the first time Then you have to clear the cache data to make it work again,App Usability & UX,Beautiful App Design,neutral,0.8364806175231934
pizzahut,App doesn't open 2nd time after installation,App doesn t open 2nd time after installation,App Usability & UX,Beautiful App Design,sadness,0.43300798535346985
pizzahut,"Everytime I open the app, they tell me to update. New version available. Even after uninstalling and then installing the latest version, they still tell me to update. Please solve this issue.",Everytime I open the app they tell me to update New version available Even after uninstalling and then installing the latest version they still tell me to update Please solve this issue,App Usability & UX,Beautiful App Design,neutral,0.8786846399307251
pizzahut,Product quality is very good and delivery also fast.,Product quality is very good and delivery also fast,Delivery Service,Quick Delivery,neutral,0.6407834887504578
pizzahut,Payment option not working. Tried many times but no use. Called the nearest Pizza Hut location they just gave lame excuses about network being down. Need major improvement with this app and service.,Payment option not working Tried many times but no use Called the nearest Pizza Hut location they just gave lame excuses about network being down Need major improvement with this app and service,App Usability & UX,Beautiful App Design,neutral,0.540287971496582
pizzahut,Good,Good,Food Quality & Availability,Good Food,neutral,0.49310538172721863
pizzahut,It's good.,It s good,Food Quality & Availability,Good Food,joy,0.9385946393013
pizzahut,VERY GOOD APP AND VERY YUMMY PIZZA,VERY GOOD APP AND VERY YUMMY PIZZA,App Usability & UX,Beautiful App Design,joy,0.6861828565597534
pizzahut,In New Eskaton Road you should start delivery on prepaid system.,In New Eskaton Road you should start delivery on prepaid system,Delivery Service,Quick Delivery,neutral,0.832230806350708
pizzahut,Good,Good,Food Quality & Availability,Good Food,neutral,0.49310538172721863
pizzahut,This apps Just third class performance..,This apps Just third class performance,Reliability & Technical Performance,Frequent App Crashes,neutral,0.7975443601608276
pizzahut,You should extend you delivery areas.,You should extend you delivery areas,Delivery Service,Quick Delivery,neutral,0.9573306441307068
pizzahut,Wow!It’s a great app! We order 2 pizza's we got it within 30 minutes!Amazing!Keep it up!🍕🍕🍕,Wow!It s a great app! We order 2 pizza s we got it within 30 minutes!Amazing!Keep it up!,App Usability & UX,Beautiful App Design,surprise,0.9341863989830017
pizzahut,Good,Good,Food Quality & Availability,Good Food,neutral,0.49310538172721863
pizzahut,This app is disgusting. It doesn't have those deals which they shown on ads and they don't also provide pizza everywhere. Lame!!,This app is disgusting It doesn t have those deals which they shown on ads and they don t also provide pizza everywhere Lame!!,App Usability & UX,Beautiful App Design,disgust,0.9894320964813232
pizzahut,I want to delete the app because it says they don’t deliver in my area through the app. but i haven’t found the delete option. kindly help me in this regard.,I want to delete the app because it says they don t deliver in my area through the app but i haven t found the delete option kindly help me in this regard,App Usability & UX,Beautiful App Design,sadness,0.9070120453834534
pizzahut,Pizza is good but not the app,Pizza is good but not the app,App Usability & UX,Beautiful App Design,sadness,0.8217809796333313
pizzahut,"This app has fatal bugs. I ordered online via this app and also paid online. Unfortunately i havenot received any pizza even almost 2 days gone! Fortunately i took screenshot of my order. You will not be able to see your ongoing order or order status in this app. After making contact with their outlet, they helped me. So, Be careful. Don't pay online via this app. Always order cash on delivery.",This app has fatal bugs I ordered online via this app and also paid online Unfortunately i havenot received any pizza even almost 2 days gone! Fortunately i took screenshot of my order You will not be able to see your ongoing order or order status in this app After making contact with their outlet they helped me So Be careful Don t pay online via this app Always order cash on delivery,Delivery Service,No Live Tracking,sadness,0.6779757738113403
pizzahut,V good,V good,Food Quality & Availability,Good Food,joy,0.6420236825942993
pizzahut,Fake representations of offers is not a good way of marketing.,Fake representations of offers is not a good way of marketing,Delivery Service,No Live Tracking,neutral,0.7379505038261414
pizzahut,I have ordered pizza at about 2 pm and now its 6pm..still i didnot get my pizza.even I am not being able to reach them... They have taken money yet no estimated delivery time and contact. Poor show.,I have ordered pizza at about 2 pm and now its 6pm still i didnot get my pizza even I am not being able to reach them They have taken money yet no estimated delivery time and contact Poor show,Delivery Service,No Live Tracking,sadness,0.8046759963035583
pizzahut,F****. Can't login,F Can t login,Trust & Ethics,Mistrust in Transactions,neutral,0.7779721021652222
pizzahut,Stupid service,Stupid service,Delivery Service,Quick Delivery,anger,0.4650227129459381
pizzahut,They Should deliver outside of Dhaka too,They Should deliver outside of Dhaka too,Delivery Service,No Live Tracking,neutral,0.9172788858413696
pizzahut,If there is more dicount it will be better,If there is more dicount it will be better,Food Quality & Availability,Food or Restaurant Unavailable,neutral,0.923004150390625
pizzahut,Very good,Very good,Food Quality & Availability,Good Food,neutral,0.4911799430847168
pizzahut,You do not deliver to my place.,You do not deliver to my place,Delivery Service,No Live Tracking,anger,0.802036702632904
pizzahut,It says it doesn't deliver to my area though my area is just about 10 minutes away from its nearest sales point.,It says it doesn t deliver to my area though my area is just about 10 minutes away from its nearest sales point,Delivery Service,No Live Tracking,neutral,0.6254211664199829
sultansdine,Worst experience?,Worst experience?,Food Quality & Availability,Food or Restaurant Unavailable,disgust,0.9575141072273254
sultansdine,"Sorry to say highly disappointed about their working process. Needs to be update more.Though food quality is good,no one taste before order. Service quality is very poor,connection is also not helpful.",Sorry to say highly disappointed about their working process Needs to be update more Though food quality is good no one taste before order Service quality is very poor connection is also not helpful,Food Quality & Availability,Good Food,sadness,0.9451526403427124
sultansdine,thats good,thats good,Food Quality & Availability,Good Food,joy,0.8052659034729004
sultansdine,"Worst app ever, In the app, it showed that the delivery charge was free, but they called me and said the delivery charge would be 80 Tk. Why should I pay twice? If you can’t calculate the delivery charge correctly in the app, why did you even add that feature?",Worst app ever In the app it showed that the delivery charge was free but they called me and said the delivery charge would be 80 Tk Why should I pay twice? If you can t calculate the delivery charge correctly in the app why did you even add that feature?,App Usability & UX,Beautiful App Design,disgust,0.5682677030563354
sultansdine,Nothing is available except kacchi.,Nothing is available except kacchi,Delivery Service,No Live Tracking,neutral,0.87925785779953
sultansdine,Some Items can't be added to the cart even after trying for a long time! Sukcs,Some Items can t be added to the cart even after trying for a long time! Sukcs,Food Quality & Availability,Food or Restaurant Unavailable,neutral,0.6448356509208679
sultansdine,Just dine at their branch. trust me it'll be way faster 😂,Just dine at their branch trust me it ll be way faster,Trust & Ethics,Mistrust in Transactions,neutral,0.6214802861213684
sultansdine,poor,poor,App Usability & UX,Poor Design & Layout,sadness,0.6388178467750549
sultansdine,"super slow, delay delivery, high delivery charge",super slow delay delivery high delivery charge,Delivery Service,Quick Delivery,neutral,0.2925257086753845
sultansdine,very bad apps😡😡😡😡,very bad apps,App Usability & UX,Beautiful App Design,sadness,0.4883384704589844
sultansdine,"scamer, they did not add delivery cost, then they charge extra money.",scamer they did not add delivery cost then they charge extra money,Delivery Service,No Live Tracking,neutral,0.7710450887680054
sultansdine,it is contiuously shown that something was wrong. try later,it is contiuously shown that something was wrong try later,Trust & Ethics,Mistrust in Transactions,anger,0.7551302313804626
sultansdine,food delivery system was nice,food delivery system was nice,Delivery Service,Quick Delivery,joy,0.7294628024101257
sultansdine,"This 1 stars are for the local branch for calling and confirming the delay so that I was able to cancel the order. Worst experience ever. The app is barely alive. The customer support is worse, they didn't even ask my order id, just asked me if I got some kind of code starting with 3 or 9 whatever in my mail or not. I didn't even enter my mail address in the app. Develop a better app or just take it down.",This 1 stars are for the local branch for calling and confirming the delay so that I was able to cancel the order Worst experience ever The app is barely alive The customer support is worse they didn t even ask my order id just asked me if I got some kind of code starting with 3 or 9 whatever in my mail or not I didn t even enter my mail address in the app Develop a better app or just take it down,Delivery Service,No Live Tracking,disgust,0.6834563612937927
sultansdine,Doesn't work well.,Doesn t work well,Food Quality & Availability,Food or Restaurant Unavailable,sadness,0.8939526081085205
sultansdine,worst customer service ever.,worst customer service ever,Customer Service,Ineffective Helpline,disgust,0.8350031971931458
sultansdine,This is a very bad situation. They kept having problems with my order. This is very stupid.👎👎,This is a very bad situation They kept having problems with my order This is very stupid,Food Quality & Availability,Food or Restaurant Unavailable,anger,0.5425417423248291
sultansdine,not opening,not opening,Delivery Service,No Live Tracking,neutral,0.4568904936313629
sultansdine,app not opening on Android 15,app not opening on Android 15,App Usability & UX,Beautiful App Design,sadness,0.48545119166374207
sultansdine,not working,not working,Delivery Service,No Live Tracking,sadness,0.8968605995178223
sultansdine,Apps crashes every time when I try to open it,Apps crashes every time when I try to open it,Reliability & Technical Performance,Frequent App Crashes,sadness,0.3143365681171417
sultansdine,Good service.,Good service,Food Quality & Availability,Good Food,neutral,0.8539659380912781
sultansdine,Horrible customer service,Horrible customer service,Customer Service,Ineffective Helpline,fear,0.8266316056251526
sultansdine,App not opening. Please kindly fix the bug,App not opening Please kindly fix the bug,App Usability & UX,Beautiful App Design,sadness,0.5551856160163879
sultansdine,Very ridiculous app. It doesn't open & crash every time,Very ridiculous app It doesn t open crash every time,App Usability & UX,Beautiful App Design,anger,0.7424721717834473
sultansdine,"The last order experience is very, very bad. Very bad condition of app, as like as delivery service of sultan dine. Waste of time, waste of money. No class condition.",The last order experience is very very bad Very bad condition of app as like as delivery service of sultan dine Waste of time waste of money No class condition,Delivery Service,No Live Tracking,disgust,0.7049979567527771
sultansdine,The application is not launching and instead is unexpectedly closing. Despite the fact that I am using the most recent Samsung S24.,The application is not launching and instead is unexpectedly closing Despite the fact that I am using the most recent Samsung S24,App Usability & UX,Beautiful App Design,surprise,0.5808185935020447
sultansdine,App stopped. Unable to start,App stopped Unable to start,App Usability & UX,Beautiful App Design,neutral,0.4558294713497162
sultansdine,very very very bad.. totally unexpected service and behavior.,very very very bad totally unexpected service and behavior,Food Quality & Availability,Food or Restaurant Unavailable,surprise,0.9184792637825012
sultansdine,Worst app ever. I have to wait an hour to confirm the order. There is no cancel button for the order. You need to improve this app.,Worst app ever I have to wait an hour to confirm the order There is no cancel button for the order You need to improve this app,App Usability & UX,Beautiful App Design,disgust,0.6354926824569702
sultansdine,Takes too much time to accept orders and to give delivery,Takes too much time to accept orders and to give delivery,Delivery Service,Quick Delivery,neutral,0.5875693559646606
sultansdine,Too bad experience. 80 tk delivery charge its huge for Only 1 km. Its time 1 hourse + Be careful everyone,Too bad experience 80 tk delivery charge its huge for Only 1 km Its time 1 hourse Be careful everyone,Delivery Service,Quick Delivery,sadness,0.504027783870697
sultansdine,Third class app with third class developer.,Third class app with third class developer,App Usability & UX,Beautiful App Design,neutral,0.836860179901123
sultansdine,Never ever order from this app. Pure harassment. Didn’t get the order even after 2 hours waiting. Finally cancelled the order by calling.,Never ever order from this app Pure harassment Didn t get the order even after 2 hours waiting Finally cancelled the order by calling,App Usability & UX,Beautiful App Design,anger,0.6309676170349121
sultansdine,I have to say this is the worst delivery app. The developer should seek manual labour instead of app development.,I have to say this is the worst delivery app The developer should seek manual labour instead of app development,App Usability & UX,Beautiful App Design,disgust,0.9494025707244873
sultansdine,Not working,Not working,Delivery Service,No Live Tracking,sadness,0.8850624561309814
sultansdine,Forgot my password.Tried many times to recover but they donot send OTP.Tried with their website also but Every time I reload the site their offer comes to screen which is very irritating....,Forgot my password Tried many times to recover but they donot send OTP Tried with their website also but Every time I reload the site their offer comes to screen which is very irritating,Reliability & Technical Performance,OTP Failures,anger,0.911191463470459
sultansdine,"Does not send verification code, tried multiple times",Does not send verification code tried multiple times,Delivery Service,No Live Tracking,neutral,0.5744215846061707
sultansdine,Worst,Worst,Food Quality & Availability,Food or Restaurant Unavailable,disgust,0.910812258720398
sultansdine,Poor System,Poor System,App Usability & UX,Poor Design & Layout,sadness,0.4646737277507782
sultansdine,Poor system,Poor system,App Usability & UX,Poor Design & Layout,neutral,0.41257405281066895
sultansdine,If your delivery range is what FoodPanda and other apps then why the hell I need to install your disgusting app? 😑,If your delivery range is what FoodPanda and other apps then why the hell I need to install your disgusting app?,App Usability & UX,Beautiful App Design,disgust,0.9864475727081299
sultansdine,Worst,Worst,Food Quality & Availability,Food or Restaurant Unavailable,disgust,0.910812258720398
sultansdine,Disgusting,Disgusting,Trust & Ethics,Mistrust in Transactions,disgust,0.9827587008476257
sultansdine,Worst experience,Worst experience,Food Quality & Availability,Food or Restaurant Unavailable,disgust,0.9572237133979797
sultansdine,Very bad app...not good at all,Very bad app not good at all,App Usability & UX,Beautiful App Design,sadness,0.439262717962265
sultansdine,Poor app... Do not have any option to cancel.. Doesn't give any update on food or delivery man,Poor app Do not have any option to cancel Doesn t give any update on food or delivery man,Delivery Service,No Live Tracking,sadness,0.9251747727394104
sultansdine,This app is to dumb,This app is to dumb,App Usability & UX,Beautiful App Design,disgust,0.7103723287582397
sultansdine,good,good,Food Quality & Availability,Good Food,neutral,0.6325145363807678
sultansdine,Worst,Worst,Food Quality & Availability,Food or Restaurant Unavailable,disgust,0.910812258720398
sultansdine,They provided very bad food.,They provided very bad food,Food Quality & Availability,Good Food,disgust,0.918175458908081
sultansdine,"It's been 3 hours since I have placed an order,didn’t yet accept.If they serve my lunch tomorrow,that doesn’t make sense🙄🙄.The whole app thing is a joke.🙄🙄",It s been 3 hours since I have placed an order didn t yet accept If they serve my lunch tomorrow that doesn t make sense The whole app thing is a joke,App Usability & UX,Beautiful App Design,neutral,0.40198031067848206
sultansdine,"This app really unorganized and doesn't work properly,it doesn't give you any updates on your order,when it's going to arrive or if it's even prepared or not, Definitely needs improvement!",This app really unorganized and doesn t work properly it doesn t give you any updates on your order when it s going to arrive or if it s even prepared or not Definitely needs improvement!,App Usability & UX,Beautiful App Design,sadness,0.7302297949790955
sultansdine,Worst experience. Waited 30 minutes but no one even accepted the order. It seems they don't care. 👎,Worst experience Waited 30 minutes but no one even accepted the order It seems they don t care,Delivery Service,No Live Tracking,disgust,0.698028028011322
sultansdine,The worst app ever. Don't know what who developed it but they need to get back and fix this. Doesn't even send OTP. Says server not responding. Fix your servers then.,The worst app ever Don t know what who developed it but they need to get back and fix this Doesn t even send OTP Says server not responding Fix your servers then,App Usability & UX,Beautiful App Design,disgust,0.5582646727561951
sultansdine,Very very poor service. No one takes care of the order. Waited two hour after placing order and didn't get the food.,Very very poor service No one takes care of the order Waited two hour after placing order and didn t get the food,Food Quality & Availability,Food or Restaurant Unavailable,sadness,0.5660960674285889
sultansdine,Third class apps in all over the world,Third class apps in all over the world,App Usability & UX,Beautiful App Design,neutral,0.7500554323196411
sultansdine,I was never able to order through this app,I was never able to order through this app,App Usability & UX,Beautiful App Design,sadness,0.9026990532875061
sultansdine,fast delivery.. food was excellent as usual. mirpur branch just awesome..,fast delivery food was excellent as usual mirpur branch just awesome,Delivery Service,Quick Delivery,joy,0.896119236946106
sultansdine,"I ordered from the app, restaurant called to confirm the order after 14 minutes and the order was delivered after 50 minutes. Don't know if there is a map functionality for the delivery man as I needed to manually instruct the delivery man to our house. It would be better to provide map functionality if there is not any and train them to use it.",I ordered from the app restaurant called to confirm the order after 14 minutes and the order was delivered after 50 minutes Don t know if there is a map functionality for the delivery man as I needed to manually instruct the delivery man to our house It would be better to provide map functionality if there is not any and train them to use it,Delivery Service,No Live Tracking,neutral,0.831179141998291
sultansdine,They have improved their app now. The process is very smooth.,They have improved their app now The process is very smooth,App Usability & UX,Beautiful App Design,neutral,0.8237041234970093
